,TEAM,CONF,Power Conference,G,W,ADJEM,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOM,TOR,RBM,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,SEED,POSTSEASON,Year
76,Georgia,SEC,1,33,17,10.299999999999997,109.6,99.3,0.7581,49.8,49.8,0.1999999999999993,16.1,-3.3000000000000007,16.3,27.5,30.8,38.4,30.2,49.3,49.7,33.6,33.2,68.4,-3.7,,,2024
77,Richmond,A10,0,32,23,10.0,106.8,96.8,0.7566,53.0,46.7,4.399999999999999,12.8,-9.600000000000001,17.2,17.0,26.6,28.1,26.5,52.0,46.6,36.5,31.3,66.8,-0.7,,,2024
78,Syracuse,ACC,1,31,20,10.400000000000006,111.2,100.8,0.7563,51.3,52.8,4.200000000000001,15.9,-7.699999999999999,20.1,24.1,31.8,34.1,26.6,51.9,53.2,33.4,34.7,70.7,-0.26,,,2024
79,Indiana,B10,1,33,19,10.299999999999997,109.8,99.5,0.7549,52.1,49.0,-2.5999999999999996,17.5,-2.8000000000000007,14.9,26.9,29.7,37.7,31.6,53.4,47.4,32.4,34.3,68.4,0.06,,,2024
80,McNeese St.,Slnd,0,29,30,10.299999999999997,111.3,101.0,0.7524,54.9,47.8,8.8,14.2,1.7000000000000028,23.0,32.1,30.4,40.6,33.9,52.8,46.3,39.4,33.0,65.3,0.7,12.0,R64,2024
81,LSU,SEC,1,32,17,10.100000000000009,110.4,100.3,0.7503,52.2,49.5,-0.3000000000000007,18.6,-0.5,18.3,30.7,31.2,38.9,33.5,51.7,49.2,35.3,33.2,69.7,-3.1,,,2024
82,VCU,A10,0,35,22,9.600000000000009,107.9,98.3,0.7455,52.2,46.6,-1.6000000000000014,18.3,1.4000000000000021,16.7,28.3,26.9,35.7,34.8,51.2,46.3,35.7,31.4,65.2,-3.8,,,2024
83,Loyola Chicago,A10,0,31,23,9.299999999999997,104.8,95.5,0.7447,51.8,46.2,-0.8000000000000007,18.6,2.0,17.8,27.1,25.1,33.6,36.2,51.1,43.4,35.2,34.2,68.6,-1.5,,,2024
84,Yale,Ivy,0,29,22,9.700000000000003,109.8,100.1,0.7437,52.3,49.7,1.9000000000000004,14.1,4.399999999999999,16.0,28.4,24.0,26.9,29.0,52.5,48.8,34.6,34.0,64.6,-2.5,13.0,R32,2024
85,Boston College,ACC,1,34,19,9.799999999999997,111.8,102.0,0.7427,52.7,50.4,0.5,15.5,0.6000000000000014,16.0,27.3,26.7,25.5,28.4,51.8,49.5,36.1,34.6,67.1,-3.6,,,2024
86,Florida St.,ACC,1,33,17,9.399999999999991,110.1,100.7,0.7372,50.3,52.2,4.300000000000001,16.4,-4.299999999999997,20.7,28.5,32.8,36.8,41.0,51.5,51.6,31.7,35.4,70.9,-3.5,,,2024
87,UCLA,P12,1,32,16,9.099999999999994,107.6,98.5,0.7339,46.6,50.1,1.6000000000000014,16.5,1.5999999999999979,18.1,29.9,28.3,35.8,35.8,45.2,49.7,33.3,33.7,63.1,-5.2,,,2024
88,Samford,SC,0,32,29,9.299999999999997,111.7,102.4,0.7315,56.9,50.0,3.599999999999998,18.1,-1.8000000000000007,21.7,30.2,32.0,36.4,37.0,55.5,49.5,39.3,33.9,72.6,0.07,13.0,R64,2024
89,UC Irvine,BW,0,32,24,9.0,108.2,99.2,0.7313,52.0,45.9,0.5,17.0,3.6000000000000014,17.5,31.3,27.7,34.6,35.5,51.9,44.2,34.9,33.3,68.4,-2.6,,,2024
90,Princeton,Ivy,0,26,24,9.599999999999994,114.5,104.9,0.7312,54.6,51.4,4.699999999999999,12.0,-0.6000000000000014,16.7,24.2,24.8,29.2,24.7,56.3,52.9,35.3,32.7,64.8,1.2,,,2024
